team_abbreviation_home,team_abbreviation_away,pts_home,pts_away,game_date
POR,UTA,113.0,104.0,2016-10-25 00:00:00
CLE,NYK,117.0,88.0,2016-10-25 00:00:00
GSW,SAS,100.0,129.0,2016-10-25 00:00:00
NOP,DEN,102.0,107.0,2016-10-26 00:00:00
IND,DAL,130.0,121.0,2016-10-26 00:00:00
TOR,DET,109.0,91.0,2016-10-26 00:00:00
PHI,OKC,97.0,103.0,2016-10-26 00:00:00
PHX,SAC,94.0,113.0,2016-10-26 00:00:00
ORL,MIA,96.0,108.0,2016-10-26 00:00:00
MIL,CHA,96.0,107.0,2016-10-26 00:00:00
LAL,HOU,120.0,114.0,2016-10-26 00:00:00
MEM,MIN,102.0,98.0,2016-10-26 00:00:00
BOS,BKN,122.0,117.0,2016-10-26 00:00:00
CHI,BOS,105.0,99.0,2016-10-27 00:00:00
ATL,WAS,114.0,99.0,2016-10-27 00:00:00
POR,LAC,106.0,114.0,2016-10-27 00:00:00
SAC,SAS,94.0,102.0,2016-10-27 00:00:00
TOR,CLE,91.0,94.0,2016-10-28 00:00:00
DET,ORL,108.0,82.0,2016-10-28 00:00:00
UTA,LAL,96.0,89.0,2016-10-28 00:00:00
BKN,IND,103.0,94.0,2016-10-28 00:00:00
NOP,GSW,114.0,122.0,2016-10-28 00:00:00
DAL,HOU,98.0,106.0,2016-10-28 00:00:00
OKC,PHX,113.0,110.0,2016-10-28 00:00:00
MIA,CHA,91.0,97.0,2016-10-28 00:00:00
NYK,MEM,111.0,104.0,2016-10-29 00:00:00
MIL,BKN,110.0,108.0,2016-10-29 00:00:00
DEN,POR,113.0,115.0,2016-10-29 00:00:00
SAS,NOP,98.0,79.0,2016-10-29 00:00:00
CLE,ORL,105.0,99.0,2016-10-29 00:00:00
CHA,BOS,98.0,104.0,2016-10-29 00:00:00
CHI,IND,118.0,101.0,2016-10-29 00:00:00
PHI,ATL,72.0,104.0,2016-10-29 00:00:00
SAC,MIN,106.0,103.0,2016-10-29 00:00:00
OKC,LAL,113.0,96.0,2016-10-30 00:00:00
MEM,WAS,112.0,103.0,2016-10-30 00:00:00
PHX,GSW,100.0,106.0,2016-10-30 00:00:00
HOU,DAL,93.0,92.0,2016-10-30 00:00:00
LAC,UTA,88.0,75.0,2016-10-30 00:00:00
DET,MIL,98.0,83.0,2016-10-30 00:00:00
MIA,SAS,99.0,106.0,2016-10-30 00:00:00
LAC,PHX,116.0,98.0,2016-10-31 00:00:00
BKN,CHI,88.0,118.0,2016-10-31 00:00:00
ATL,SAC,106.0,95.0,2016-10-31 00:00:00
TOR,DEN,105.0,102.0,2016-10-31 00:00:00
DET,NYK,102.0,89.0,2016-11-01 00:00:00
MIA,SAC,108.0,96.0,2016-11-01 00:00:00
CLE,HOU,128.0,120.0,2016-11-01 00:00:00
SAS,UTA,91.0,106.0,2016-11-01 00:00:00
MIN,MEM,116.0,80.0,2016-11-01 00:00:00
NOP,MIL,113.0,117.0,2016-11-01 00:00:00
IND,LAL,115.0,108.0,2016-11-01 00:00:00
PHI,ORL,101.0,103.0,2016-11-01 00:00:00
POR,GSW,104.0,127.0,2016-11-01 00:00:00
PHX,POR,118.0,115.0,2016-11-02 00:00:00
BKN,DET,109.0,101.0,2016-11-02 00:00:00
UTA,DAL,97.0,81.0,2016-11-02 00:00:00
BOS,CHI,107.0,100.0,2016-11-02 00:00:00
CHA,PHI,109.0,93.0,2016-11-02 00:00:00
WAS,TOR,103.0,113.0,2016-11-02 00:00:00
MEM,NOP,89.0,83.0,2016-11-02 00:00:00
NYK,HOU,99.0,118.0,2016-11-02 00:00:00
ATL,LAL,116.0,123.0,2016-11-02 00:00:00
LAC,OKC,83.0,85.0,2016-11-02 00:00:00
GSW,OKC,122.0,96.0,2016-11-03 00:00:00
ORL,SAC,102.0,94.0,2016-11-03 00:00:00
MIN,DEN,99.0,102.0,2016-11-03 00:00:00
MIL,IND,125.0,107.0,2016-11-03 00:00:00
CLE,BOS,128.0,122.0,2016-11-03 00:00:00
TOR,MIA,96.0,87.0,2016-11-04 00:00:00
CHI,NYK,104.0,117.0,2016-11-04 00:00:00
NOP,PHX,111.0,112.0,2016-11-04 00:00:00
WAS,ATL,95.0,92.0,2016-11-04 00:00:00
BKN,CHA,95.0,99.0,2016-11-04 00:00:00
UTA,SAS,86.0,100.0,2016-11-04 00:00:00
DAL,POR,95.0,105.0,2016-11-04 00:00:00
LAL,GSW,117.0,97.0,2016-11-04 00:00:00
MEM,LAC,88.0,99.0,2016-11-04 00:00:00
SAS,LAC,92.0,116.0,2016-11-05 00:00:00
PHI,CLE,101.0,102.0,2016-11-05 00:00:00
IND,CHI,111.0,94.0,2016-11-05 00:00:00
MIL,SAC,117.0,91.0,2016-11-05 00:00:00
OKC,MIN,112.0,92.0,2016-11-05 00:00:00
ATL,HOU,112.0,97.0,2016-11-05 00:00:00
DET,DEN,103.0,86.0,2016-11-05 00:00:00
ORL,WAS,88.0,86.0,2016-11-05 00:00:00
NYK,UTA,109.0,114.0,2016-11-06 00:00:00
BOS,DEN,107.0,123.0,2016-11-06 00:00:00
TOR,SAC,91.0,96.0,2016-11-06 00:00:00
LAL,PHX,119.0,108.0,2016-11-06 00:00:00
DAL,MIL,86.0,75.0,2016-11-06 00:00:00
MEM,POR,94.0,100.0,2016-11-06 00:00:00
WAS,HOU,106.0,114.0,2016-11-07 00:00:00
GSW,NOP,116.0,106.0,2016-11-07 00:00:00
CHI,ORL,112.0,80.0,2016-11-07 00:00:00
CHA,IND,122.0,100.0,2016-11-07 00:00:00
LAC,DET,114.0,82.0,2016-11-07 00:00:00
OKC,MIA,97.0,85.0,2016-11-07 00:00:00
PHI,UTA,84.0,109.0,2016-11-07 00:00:00
CLE,ATL,106.0,110.0,2016-11-08 00:00:00
BKN,MIN,119.0,110.0,2016-11-08 00:00:00
MEM,DEN,108.0,107.0,2016-11-08 00:00:00
POR,PHX,124.0,121.0,2016-11-08 00:00:00
LAL,DAL,97.0,109.0,2016-11-08 00:00:00
SAC,NOP,102.0,94.0,2016-11-08 00:00:00
ORL,MIN,107.0,123.0,2016-11-09 00:00:00
LAC,POR,111.0,80.0,2016-11-09 00:00:00
NYK,BKN,110.0,96.0,2016-11-09 00:00:00
GSW,DAL,116.0,95.0,2016-11-09 00:00:00
PHX,DET,107.0,100.0,2016-11-09 00:00:00
OKC,TOR,102.0,112.0,2016-11-09 00:00:00
IND,PHI,122.0,115.0,2016-11-09 00:00:00
SAS,HOU,99.0,101.0,2016-11-09 00:00:00
ATL,CHI,115.0,107.0,2016-11-09 00:00:00
WAS,BOS,118.0,93.0,2016-11-09 00:00:00
CHA,UTA,104.0,98.0,2016-11-09 00:00:00
DEN,GSW,101.0,125.0,2016-11-10 00:00:00
SAC,LAL,91.0,101.0,2016-11-10 00:00:00
MIA,CHI,95.0,98.0,2016-11-10 00:00:00
MIL,NOP,106.0,112.0,2016-11-10 00:00:00
SAS,DET,96.0,86.0,2016-11-11 00:00:00
ORL,UTA,74.0,87.0,2016-11-11 00:00:00
WAS,CLE,94.0,105.0,2016-11-11 00:00:00
BOS,NYK,115.0,87.0,2016-11-11 00:00:00
CHA,TOR,111.0,113.0,2016-11-11 00:00:00
OKC,LAC,108.0,110.0,2016-11-11 00:00:00
POR,SAC,122.0,120.0,2016-11-11 00:00:00
PHI,IND,109.0,105.0,2016-11-11 00:00:00
DEN,DET,95.0,106.0,2016-11-12 00:00:00
