home_idx,away_idx,margin,home_team,away_team,home_pr,away_pr,home_off,home_def,away_off,away_def
22,13,11.0,PHI,LAL,0.035428294317116,0.0137511796875004,0.994641,0.971781,1.013651,1.040915
14,8,11.0,MEM,DET,0.0598898243501919,0.012590743809682,1.04365,0.994827,0.949618,1.015795
3,19,-19.0,CHA,NYK,0.0246902228698749,0.0291673104305282,1.045667,1.04167,0.961948,0.961574
24,17,6.0,POR,MIN,0.0137597696546373,0.0464363618485504,0.960516,1.037311,1.049302,1.026474
4,6,29.0,CHI,DAL,0.0255075170500835,0.0400431558863304,1.011078,1.014173,0.973076,0.945594
11,1,-3.0,IND,BKN,0.0210597726835284,0.0245005373461128,1.010643,1.039967,1.024876,1.016646
9,2,16.0,GSW,BOS,0.0711095215138326,0.0772253049343108,1.001005,0.950809,1.008049,0.944763
5,20,8.0,CLE,OKC,0.0500866440470742,0.0096898554654642,0.972418,0.953531,0.936351,1.006328
7,28,5.0,DEN,UTA,0.0345402587126149,0.0537611219294618,1.017956,0.998491,1.025165,0.973709
15,26,-4.0,MIA,SAS,0.0457870794643961,0.0261337119399451,0.992439,0.954699,1.022324,1.022463
29,12,-7.0,WAS,LAC,0.0184133026207388,0.0347824704668889,0.983764,1.013005,0.978238,0.977603
8,13,-7.0,DET,LAL,0.012590743809682,0.0137511796875004,0.949618,1.015795,1.013651,1.040915
22,3,18.0,PHI,CHA,0.035428294317116,0.0246902228698749,0.994641,0.971781,1.045667,1.04167
18,23,5.0,NOP,PHX,0.0208227100466635,0.0602335274538521,0.986774,0.99425,1.034706,0.972419
21,27,12.0,ORL,TOR,0.0089507342892975,0.0402042952349722,0.942972,1.01223,0.989893,0.969089
19,25,13.0,NYK,SAC,0.0291673104305282,0.0125988940675179,0.961948,0.961574,0.998358,1.046842
0,4,1.0,ATL,CHI,0.0543994736103703,0.0255075170500835,1.032039,1.019011,1.011078,1.014173
10,16,5.0,HOU,MIL,0.0063633062928196,0.0280730979756421,0.992851,1.06718,1.046029,1.016851
11,15,-5.0,IND,MIA,0.0210597726835284,0.0457870794643961,1.010643,1.039967,0.992439,0.954699
14,0,25.0,MEM,ATL,0.0598898243501919,0.0543994736103703,1.04365,0.994827,1.032039,1.019011
26,5,1.0,SAS,CLE,0.0261337119399451,0.0500866440470742,1.022324,1.022463,0.972418,0.953531
6,20,7.0,DAL,OKC,0.0400431558863304,0.0096898554654642,0.973076,0.945594,0.936351,1.006328
24,17,21.0,POR,MIN,0.0137597696546373,0.0464363618485504,0.960516,1.037311,1.049302,1.026474
12,2,20.0,LAC,BOS,0.0347824704668889,0.0772253049343108,0.978238,0.977603,1.008049,0.944763
29,1,-12.0,WAS,BKN,0.0184133026207388,0.0245005373461128,0.983764,1.013005,1.024876,1.016646
13,2,-4.0,LAL,BOS,0.0137511796875004,0.0772253049343108,1.013651,1.040915,1.008049,0.944763
28,18,21.0,UTA,NOP,0.0537611219294618,0.0208227100466635,1.025165,0.973709,0.986774,0.99425
22,25,20.0,PHI,SAC,0.035428294317116,0.0125988940675179,0.994641,0.971781,0.998358,1.046842
10,23,14.0,HOU,PHX,0.0063633062928196,0.0602335274538521,0.992851,1.06718,1.034706,0.972419
16,9,17.0,MIL,GSW,0.0280730979756421,0.0711095215138326,1.046029,1.016851,1.001005,0.950809
12,17,11.0,LAC,MIN,0.0347824704668889,0.0464363618485504,0.978238,0.977603,1.049302,1.026474
6,5,-15.0,DAL,CLE,0.0400431558863304,0.0500866440470742,0.973076,0.945594,0.972418,0.953531
4,19,-8.0,CHI,NYK,0.0255075170500835,0.0291673104305282,1.011078,1.014173,0.961948,0.961574
20,15,-2.0,OKC,MIA,0.0096898554654642,0.0457870794643961,0.936351,1.006328,0.992439,0.954699
26,24,-16.0,SAS,POR,0.0261337119399451,0.0137597696546373,1.022324,1.022463,0.960516,1.037311
27,25,-1.0,TOR,SAC,0.0402042952349722,0.0125988940675179,0.989893,0.969089,0.998358,1.046842
3,8,-7.0,CHA,DET,0.0246902228698749,0.012590743809682,1.045667,1.04167,0.949618,1.015795
7,29,13.0,DEN,WAS,0.0345402587126149,0.0184133026207388,1.017956,0.998491,0.983764,1.013005
11,9,6.0,IND,GSW,0.0210597726835284,0.0711095215138326,1.010643,1.039967,1.001005,0.950809
21,0,11.0,ORL,ATL,0.0089507342892975,0.0543994736103703,0.942972,1.01223,1.032039,1.019011
28,18,3.0,UTA,NOP,0.0537611219294618,0.0208227100466635,1.025165,0.973709,0.986774,0.99425
