rank,keep_ratio,test_size,prediction_errors,accuracy
1,0.1,783,332,0.576
1,0.2,696,278,0.6006
1,0.3,609,231,0.6207
1,0.4,522,199,0.6188
1,0.5,435,170,0.6092
1,0.6,348,136,0.6092
1,0.7,261,108,0.5862
1,0.8,174,74,0.5747
1,0.9,87,33,0.6207
10,0.1,783,338,0.5683
10,0.2,696,284,0.592
10,0.3,609,256,0.5796
10,0.4,522,219,0.5805
10,0.5,435,170,0.6092
10,0.6,348,142,0.592
10,0.7,261,114,0.5632
10,0.8,174,76,0.5632
10,0.9,87,34,0.6092
20,0.1,783,321,0.59
20,0.2,696,281,0.5963
20,0.3,609,246,0.5961
20,0.4,522,220,0.5785
20,0.5,435,187,0.5701
20,0.6,348,151,0.5661
20,0.7,261,123,0.5287
20,0.8,174,87,0.5
20,0.9,87,35,0.5977
30,0.1,783,319,0.5926
30,0.2,696,280,0.5977
30,0.3,609,244,0.5993
30,0.4,522,219,0.5805
30,0.5,435,187,0.5701
30,0.6,348,151,0.5661
30,0.7,261,120,0.5402
30,0.8,174,86,0.5057
30,0.9,87,33,0.6207
