team_abbreviation_home,team_abbreviation_away,pts_home,pts_away,game_date
ATL,DET,94.0,106.0,2015-10-27 00:00:00
GSW,NOP,111.0,95.0,2015-10-27 00:00:00
CHI,CLE,97.0,95.0,2015-10-27 00:00:00
BOS,PHI,112.0,95.0,2015-10-28 00:00:00
MIA,CHA,104.0,94.0,2015-10-28 00:00:00
SAC,LAC,104.0,111.0,2015-10-28 00:00:00
PHX,DAL,95.0,111.0,2015-10-28 00:00:00
MEM,CLE,76.0,106.0,2015-10-28 00:00:00
LAL,MIN,111.0,112.0,2015-10-28 00:00:00
ORL,WAS,87.0,88.0,2015-10-28 00:00:00
DET,UTA,92.0,87.0,2015-10-28 00:00:00
HOU,DEN,85.0,105.0,2015-10-28 00:00:00
MIL,NYK,97.0,122.0,2015-10-28 00:00:00
POR,NOP,112.0,94.0,2015-10-28 00:00:00
BKN,CHI,100.0,115.0,2015-10-28 00:00:00
OKC,SAS,112.0,106.0,2015-10-28 00:00:00
TOR,IND,106.0,99.0,2015-10-28 00:00:00
LAC,DAL,104.0,88.0,2015-10-29 00:00:00
IND,MEM,103.0,112.0,2015-10-29 00:00:00
NYK,ATL,101.0,112.0,2015-10-29 00:00:00
PHX,POR,110.0,92.0,2015-10-30 00:00:00
HOU,GSW,92.0,112.0,2015-10-30 00:00:00
MIL,WAS,113.0,118.0,2015-10-30 00:00:00
DET,CHI,98.0,94.0,2015-10-30 00:00:00
CLE,MIA,102.0,92.0,2015-10-30 00:00:00
BOS,TOR,103.0,113.0,2015-10-30 00:00:00
SAS,BKN,102.0,75.0,2015-10-30 00:00:00
ATL,CHA,97.0,94.0,2015-10-30 00:00:00
DEN,MIN,78.0,95.0,2015-10-30 00:00:00
PHI,UTA,71.0,99.0,2015-10-30 00:00:00
ORL,OKC,136.0,139.0,2015-10-30 00:00:00
SAC,LAL,132.0,114.0,2015-10-30 00:00:00
POR,PHX,90.0,101.0,2015-10-31 00:00:00
LAC,SAC,114.0,109.0,2015-10-31 00:00:00
IND,UTA,76.0,97.0,2015-10-31 00:00:00
WAS,NYK,110.0,117.0,2015-10-31 00:00:00
NOP,GSW,120.0,134.0,2015-10-31 00:00:00
MEM,BKN,101.0,91.0,2015-10-31 00:00:00
CHI,ORL,92.0,87.0,2015-11-01 00:00:00
TOR,MIL,106.0,87.0,2015-11-01 00:00:00
LAL,DAL,93.0,103.0,2015-11-01 00:00:00
OKC,DEN,117.0,93.0,2015-11-01 00:00:00
MIA,HOU,109.0,89.0,2015-11-01 00:00:00
BOS,SAS,87.0,95.0,2015-11-01 00:00:00
CHA,ATL,92.0,94.0,2015-11-01 00:00:00
MIN,POR,101.0,106.0,2015-11-02 00:00:00
HOU,OKC,110.0,105.0,2015-11-02 00:00:00
GSW,MEM,119.0,69.0,2015-11-02 00:00:00
LAC,PHX,102.0,96.0,2015-11-02 00:00:00
BKN,MIL,96.0,103.0,2015-11-02 00:00:00
PHI,CLE,100.0,107.0,2015-11-02 00:00:00
NYK,SAS,84.0,94.0,2015-11-02 00:00:00
NOP,ORL,94.0,103.0,2015-11-03 00:00:00
SAC,MEM,89.0,103.0,2015-11-03 00:00:00
CHA,CHI,130.0,105.0,2015-11-03 00:00:00
DET,IND,82.0,94.0,2015-11-03 00:00:00
DAL,TOR,91.0,102.0,2015-11-03 00:00:00
MIA,ATL,92.0,98.0,2015-11-03 00:00:00
LAL,DEN,109.0,120.0,2015-11-03 00:00:00
MIL,PHI,91.0,87.0,2015-11-04 00:00:00
GSW,LAC,112.0,108.0,2015-11-04 00:00:00
UTA,POR,92.0,108.0,2015-11-04 00:00:00
WAS,SAS,102.0,99.0,2015-11-04 00:00:00
PHX,SAC,118.0,97.0,2015-11-04 00:00:00
CLE,NYK,96.0,86.0,2015-11-04 00:00:00
HOU,ORL,119.0,114.0,2015-11-04 00:00:00
IND,BOS,100.0,98.0,2015-11-04 00:00:00
OKC,TOR,98.0,103.0,2015-11-04 00:00:00
ATL,BKN,101.0,87.0,2015-11-04 00:00:00
CHI,OKC,104.0,98.0,2015-11-05 00:00:00
DEN,UTA,84.0,96.0,2015-11-05 00:00:00
MIN,MIA,84.0,96.0,2015-11-05 00:00:00
POR,MEM,115.0,96.0,2015-11-05 00:00:00
DAL,CHA,94.0,108.0,2015-11-05 00:00:00
SAC,HOU,110.0,116.0,2015-11-06 00:00:00
GSW,DEN,119.0,104.0,2015-11-06 00:00:00
PHX,DET,92.0,100.0,2015-11-06 00:00:00
IND,MIA,90.0,87.0,2015-11-06 00:00:00
NYK,MIL,92.0,99.0,2015-11-06 00:00:00
BKN,LAL,98.0,104.0,2015-11-06 00:00:00
CLE,PHI,108.0,102.0,2015-11-06 00:00:00
NOP,ATL,115.0,121.0,2015-11-06 00:00:00
ORL,TOR,92.0,87.0,2015-11-06 00:00:00
BOS,WAS,118.0,98.0,2015-11-06 00:00:00
CHI,MIN,93.0,102.0,2015-11-07 00:00:00
DAL,NOP,107.0,98.0,2015-11-07 00:00:00
MIL,BKN,94.0,86.0,2015-11-07 00:00:00
ATL,WAS,114.0,99.0,2015-11-07 00:00:00
SAC,GSW,94.0,103.0,2015-11-07 00:00:00
LAC,HOU,105.0,109.0,2015-11-07 00:00:00
PHI,ORL,97.0,105.0,2015-11-07 00:00:00
UTA,MEM,89.0,79.0,2015-11-07 00:00:00
SAS,CHA,114.0,94.0,2015-11-07 00:00:00
NYK,LAL,99.0,95.0,2015-11-08 00:00:00
MIA,TOR,96.0,76.0,2015-11-08 00:00:00
OKC,PHX,124.0,103.0,2015-11-08 00:00:00
CLE,IND,101.0,97.0,2015-11-08 00:00:00
POR,DET,103.0,120.0,2015-11-08 00:00:00
ATL,MIN,107.0,117.0,2015-11-09 00:00:00
DEN,POR,108.0,104.0,2015-11-09 00:00:00
GSW,DET,109.0,95.0,2015-11-09 00:00:00
SAC,SAS,88.0,106.0,2015-11-09 00:00:00
LAC,MEM,94.0,92.0,2015-11-09 00:00:00
PHI,CHI,88.0,111.0,2015-11-09 00:00:00
IND,ORL,97.0,84.0,2015-11-09 00:00:00
NOP,DAL,120.0,105.0,2015-11-10 00:00:00
WAS,OKC,101.0,125.0,2015-11-10 00:00:00
CLE,UTA,118.0,114.0,2015-11-10 00:00:00
MIN,CHA,95.0,104.0,2015-11-10 00:00:00
MIA,LAL,101.0,88.0,2015-11-10 00:00:00
TOR,NYK,109.0,111.0,2015-11-10 00:00:00
MIL,BOS,83.0,99.0,2015-11-10 00:00:00
POR,SAS,101.0,113.0,2015-11-11 00:00:00
SAC,DET,101.0,92.0,2015-11-11 00:00:00
CHA,NYK,95.0,93.0,2015-11-11 00:00:00
MEM,GSW,84.0,100.0,2015-11-11 00:00:00
DEN,MIL,103.0,102.0,2015-11-11 00:00:00
ORL,LAL,101.0,99.0,2015-11-11 00:00:00
HOU,BKN,98.0,106.0,2015-11-11 00:00:00
DAL,LAC,118.0,108.0,2015-11-11 00:00:00
ATL,NOP,106.0,98.0,2015-11-11 00:00:00
BOS,IND,91.0,102.0,2015-11-11 00:00:00
PHI,TOR,103.0,119.0,2015-11-11 00:00:00
PHX,LAC,118.0,104.0,2015-11-12 00:00:00
MIA,UTA,92.0,91.0,2015-11-12 00:00:00
MIN,GSW,116.0,129.0,2015-11-12 00:00:00
OKC,PHI,102.0,85.0,2015-11-13 00:00:00
CHI,CHA,102.0,97.0,2015-11-13 00:00:00
DEN,HOU,107.0,98.0,2015-11-13 00:00:00
DAL,LAL,90.0,82.0,2015-11-13 00:00:00
NYK,CLE,84.0,90.0,2015-11-13 00:00:00
MEM,POR,101.0,100.0,2015-11-13 00:00:00
BOS,ATL,106.0,93.0,2015-11-13 00:00:00
ORL,UTA,102.0,93.0,2015-11-13 00:00:00
IND,MIN,107.0,103.0,2015-11-13 00:00:00
SAC,BKN,111.0,109.0,2015-11-13 00:00:00
TOR,NOP,100.0,81.0,2015-11-13 00:00:00
