team_abbreviation_home,team_abbreviation_away,pts_home,pts_away,game_date
LAC,LAL,112.0,102.0,2019-10-22 00:00:00
TOR,NOP,130.0,122.0,2019-10-22 00:00:00
IND,DET,110.0,119.0,2019-10-23 00:00:00
MIA,MEM,120.0,101.0,2019-10-23 00:00:00
PHI,BOS,107.0,93.0,2019-10-23 00:00:00
CHA,CHI,126.0,125.0,2019-10-23 00:00:00
ORL,CLE,94.0,85.0,2019-10-23 00:00:00
UTA,OKC,100.0,95.0,2019-10-23 00:00:00
PHX,SAC,124.0,95.0,2019-10-23 00:00:00
POR,DEN,100.0,108.0,2019-10-23 00:00:00
DAL,WAS,108.0,100.0,2019-10-23 00:00:00
BKN,MIN,126.0,127.0,2019-10-23 00:00:00
SAS,NYK,120.0,111.0,2019-10-23 00:00:00
DET,ATL,100.0,117.0,2019-10-24 00:00:00
HOU,MIL,111.0,117.0,2019-10-24 00:00:00
GSW,LAC,122.0,141.0,2019-10-24 00:00:00
OKC,WAS,85.0,97.0,2019-10-25 00:00:00
SAC,POR,112.0,122.0,2019-10-25 00:00:00
LAL,UTA,95.0,86.0,2019-10-25 00:00:00
BKN,NYK,113.0,109.0,2019-10-25 00:00:00
BOS,TOR,112.0,106.0,2019-10-25 00:00:00
MEM,CHI,102.0,110.0,2019-10-25 00:00:00
CHA,MIN,99.0,121.0,2019-10-25 00:00:00
NOP,DAL,116.0,123.0,2019-10-25 00:00:00
DEN,PHX,108.0,107.0,2019-10-25 00:00:00
HOU,NOP,126.0,123.0,2019-10-26 00:00:00
MIL,MIA,126.0,131.0,2019-10-26 00:00:00
ATL,ORL,103.0,99.0,2019-10-26 00:00:00
CHI,TOR,84.0,108.0,2019-10-26 00:00:00
DET,PHI,111.0,117.0,2019-10-26 00:00:00
UTA,SAC,113.0,81.0,2019-10-26 00:00:00
PHX,LAC,130.0,122.0,2019-10-26 00:00:00
SAS,WAS,124.0,122.0,2019-10-26 00:00:00
CLE,IND,110.0,99.0,2019-10-26 00:00:00
NYK,BOS,95.0,118.0,2019-10-26 00:00:00
MIN,MIA,116.0,109.0,2019-10-27 00:00:00
MEM,BKN,134.0,133.0,2019-10-27 00:00:00
OKC,GSW,120.0,92.0,2019-10-27 00:00:00
DAL,POR,119.0,121.0,2019-10-27 00:00:00
LAL,CHA,120.0,101.0,2019-10-27 00:00:00
HOU,OKC,116.0,112.0,2019-10-28 00:00:00
PHX,UTA,95.0,96.0,2019-10-28 00:00:00
TOR,ORL,104.0,95.0,2019-10-28 00:00:00
NOP,GSW,123.0,134.0,2019-10-28 00:00:00
DET,IND,96.0,94.0,2019-10-28 00:00:00
SAC,DEN,94.0,101.0,2019-10-28 00:00:00
NYK,CHI,105.0,98.0,2019-10-28 00:00:00
SAS,POR,113.0,110.0,2019-10-28 00:00:00
MIL,CLE,129.0,112.0,2019-10-28 00:00:00
LAC,CHA,111.0,96.0,2019-10-28 00:00:00
ATL,PHI,103.0,105.0,2019-10-28 00:00:00
LAL,MEM,120.0,91.0,2019-10-29 00:00:00
MIA,ATL,112.0,97.0,2019-10-29 00:00:00
DEN,DAL,106.0,109.0,2019-10-29 00:00:00
BOS,MIL,116.0,105.0,2019-10-30 00:00:00
BKN,IND,108.0,118.0,2019-10-30 00:00:00
