team_abbreviation_home,team_abbreviation_away,pts_home,pts_away,game_date
BOS,PHI,126.0,117.0,2022-10-18 00:00:00
GSW,LAL,123.0,109.0,2022-10-18 00:00:00
DET,ORL,113.0,109.0,2022-10-19 00:00:00
UTA,DEN,123.0,102.0,2022-10-19 00:00:00
BKN,NOP,108.0,130.0,2022-10-19 00:00:00
IND,WAS,107.0,114.0,2022-10-19 00:00:00
SAC,POR,108.0,115.0,2022-10-19 00:00:00
PHX,DAL,107.0,105.0,2022-10-19 00:00:00
SAS,CHA,102.0,129.0,2022-10-19 00:00:00
MIN,OKC,115.0,108.0,2022-10-19 00:00:00
TOR,CLE,108.0,105.0,2022-10-19 00:00:00
MEM,NYK,115.0,112.0,2022-10-19 00:00:00
MIA,CHI,108.0,116.0,2022-10-19 00:00:00
ATL,HOU,117.0,107.0,2022-10-19 00:00:00
PHI,MIL,88.0,90.0,2022-10-20 00:00:00
LAL,LAC,97.0,103.0,2022-10-20 00:00:00
HOU,MEM,122.0,129.0,2022-10-21 00:00:00
BKN,TOR,109.0,105.0,2022-10-21 00:00:00
POR,PHX,113.0,111.0,2022-10-21 00:00:00
MIN,UTA,126.0,132.0,2022-10-21 00:00:00
ATL,ORL,108.0,98.0,2022-10-21 00:00:00
GSW,DEN,123.0,128.0,2022-10-21 00:00:00
IND,SAS,134.0,137.0,2022-10-21 00:00:00
CHA,NOP,112.0,124.0,2022-10-21 00:00:00
NYK,DET,130.0,106.0,2022-10-21 00:00:00
MIA,BOS,104.0,111.0,2022-10-21 00:00:00
WAS,CHI,102.0,100.0,2022-10-21 00:00:00
DAL,MEM,137.0,96.0,2022-10-22 00:00:00
CHI,CLE,96.0,128.0,2022-10-22 00:00:00
PHI,SAS,105.0,114.0,2022-10-22 00:00:00
MIL,HOU,125.0,105.0,2022-10-22 00:00:00
ORL,BOS,120.0,126.0,2022-10-22 00:00:00
IND,DET,124.0,115.0,2022-10-22 00:00:00
SAC,LAC,109.0,111.0,2022-10-22 00:00:00
DEN,OKC,122.0,117.0,2022-10-22 00:00:00
MIA,TOR,112.0,109.0,2022-10-22 00:00:00
OKC,MIN,106.0,116.0,2022-10-23 00:00:00
LAC,PHX,95.0,112.0,2022-10-23 00:00:00
LAL,POR,104.0,106.0,2022-10-23 00:00:00
ATL,CHA,109.0,126.0,2022-10-23 00:00:00
NOP,UTA,121.0,122.0,2022-10-23 00:00:00
GSW,SAC,130.0,125.0,2022-10-23 00:00:00
CLE,WAS,117.0,107.0,2022-10-23 00:00:00
PHI,IND,120.0,106.0,2022-10-24 00:00:00
NYK,ORL,115.0,102.0,2022-10-24 00:00:00
MIA,TOR,90.0,98.0,2022-10-24 00:00:00
CHI,BOS,120.0,102.0,2022-10-24 00:00:00
MEM,BKN,134.0,124.0,2022-10-24 00:00:00
MIN,SAS,106.0,115.0,2022-10-24 00:00:00
POR,DEN,135.0,110.0,2022-10-24 00:00:00
HOU,UTA,114.0,108.0,2022-10-24 00:00:00
NOP,DAL,113.0,111.0,2022-10-25 00:00:00
PHX,GSW,134.0,105.0,2022-10-25 00:00:00
WAS,DET,120.0,99.0,2022-10-25 00:00:00
OKC,LAC,108.0,94.0,2022-10-25 00:00:00
NYK,CHA,134.0,131.0,2022-10-26 00:00:00
TOR,PHI,119.0,109.0,2022-10-26 00:00:00
UTA,HOU,109.0,101.0,2022-10-26 00:00:00
POR,MIA,98.0,119.0,2022-10-26 00:00:00
DEN,LAL,110.0,99.0,2022-10-26 00:00:00
CLE,ORL,103.0,92.0,2022-10-26 00:00:00
MIN,SAS,134.0,122.0,2022-10-26 00:00:00
MIL,BKN,110.0,99.0,2022-10-26 00:00:00
CHI,IND,124.0,109.0,2022-10-26 00:00:00
DET,ATL,113.0,118.0,2022-10-26 00:00:00
BKN,DAL,125.0,129.0,2022-10-27 00:00:00
SAC,MEM,110.0,125.0,2022-10-27 00:00:00
GSW,MIA,123.0,110.0,2022-10-27 00:00:00
OKC,LAC,118.0,110.0,2022-10-27 00:00:00
MIN,LAL,111.0,102.0,2022-10-28 00:00:00
SAS,CHI,129.0,124.0,2022-10-28 00:00:00
DEN,UTA,117.0,101.0,2022-10-28 00:00:00
ORL,CHA,113.0,93.0,2022-10-28 00:00:00
BOS,CLE,123.0,132.0,2022-10-28 00:00:00
WAS,IND,117.0,127.0,2022-10-28 00:00:00
PHX,NOP,124.0,111.0,2022-10-28 00:00:00
POR,HOU,125.0,111.0,2022-10-28 00:00:00
DET,ATL,112.0,136.0,2022-10-28 00:00:00
TOR,PHI,90.0,112.0,2022-10-28 00:00:00
MIL,NYK,119.0,108.0,2022-10-28 00:00:00
CHA,GSW,120.0,113.0,2022-10-29 00:00:00
MIL,ATL,123.0,115.0,2022-10-29 00:00:00
SAC,MIA,119.0,113.0,2022-10-29 00:00:00
CHI,PHI,109.0,114.0,2022-10-29 00:00:00
UTA,MEM,124.0,123.0,2022-10-29 00:00:00
DAL,OKC,111.0,117.0,2022-10-29 00:00:00
BKN,IND,116.0,125.0,2022-10-29 00:00:00
