home_idx,away_idx,margin,season
13,11,1.0,2015
27,23,0.0,2015
19,10,0.0,2015
14,22,13.0,2015
1,8,9.0,2015
21,2,24.0,2015
12,17,13.0,2015
3,16,10.0,2015
25,6,19.0,2015
28,9,2.0,2015
16,7,23.0,2015
4,26,8.0,2015
0,20,11.0,2015
8,10,16.0,2015
15,2,-5.0,2015
12,24,20.0,2015
5,29,-7.0,2015
1,23,8.0,2015
18,14,-4.0,2015
22,13,17.0,2015
17,21,2.0,2015
24,6,2.0,2015
29,13,1.0,2015
8,23,10.0,2015
12,11,-7.0,2015
26,16,30.0,2015
0,27,-5.0,2015
19,22,17.0,2015
4,7,14.0,2015
10,18,12.0,2015
3,9,-12.0,2015
27,7,4.0,2015
25,2,-12.0,2015
15,20,7.0,2015
28,21,-4.0,2015
24,11,17.0,2015
14,26,-15.0,2015
18,5,11.0,2015
8,16,12.0,2015
6,10,1.0,2015
29,23,8.0,2015
19,1,22.0,2015
0,13,18.0,2015
12,21,7.0,2015
26,2,8.0,2015
22,7,2.0,2015
16,19,20.0,2015
28,11,8.0,2015
4,3,-1.0,2015
17,24,-1.0,2015
10,25,12.0,2015
15,5,20.0,2015
27,9,2.0,2015
20,25,8.0,2015
8,13,25.0,2015
14,23,7.0,2015
1,9,-11.0,2015
29,6,-7.0,2015
16,24,7.0,2015
3,8,25.0,2015
19,6,-2.0,2015
15,29,-6.0,2015
22,26,-30.0,2015
27,13,14.0,2015
4,23,3.0,2015
18,2,-13.0,2015
17,12,1.0,2015
25,28,13.0,2015
1,10,10.0,2015
14,20,-30.0,2015
7,21,-6.0,2015
5,24,10.0,2015
11,9,-3.0,2015
23,21,8.0,2015
2,4,10.0,2015
6,0,2.0,2015
17,13,6.0,2015
27,26,8.0,2015
16,12,-9.0,2015
3,15,23.0,2015
28,19,26.0,2015
8,14,4.0,2015
29,10,-1.0,2015
4,12,8.0,2015
1,22,14.0,2015
25,19,7.0,2015
20,0,18.0,2015
2,9,0.0,2015
23,24,-5.0,2015
21,5,-30.0,2015
28,20,1.0,2015
11,15,18.0,2015
18,29,7.0,2015
27,16,12.0,2015
22,8,-7.0,2015
26,13,27.0,2015
7,17,8.0,2015
14,3,-19.0,2015
3,2,0.0,2015
4,18,9.0,2015
16,9,18.0,2015
6,29,2.0,2015
0,26,-20.0,2015
8,11,27.0,2015
