team_abbreviation_home,team_abbreviation_away,pts_home,pts_away,game_date
MIL,BKN,127.0,104.0,2021-10-19 00:00:00
LAL,GSW,114.0,121.0,2021-10-19 00:00:00
POR,SAC,121.0,124.0,2021-10-20 00:00:00
PHX,DEN,98.0,110.0,2021-10-20 00:00:00
MIN,HOU,124.0,106.0,2021-10-20 00:00:00
CHA,IND,123.0,122.0,2021-10-20 00:00:00
MEM,CLE,132.0,121.0,2021-10-20 00:00:00
UTA,OKC,107.0,86.0,2021-10-20 00:00:00
SAS,ORL,123.0,97.0,2021-10-20 00:00:00
NYK,BOS,138.0,134.0,2021-10-20 00:00:00
NOP,PHI,97.0,117.0,2021-10-20 00:00:00
DET,CHI,88.0,94.0,2021-10-20 00:00:00
TOR,WAS,83.0,98.0,2021-10-20 00:00:00
ATL,DAL,113.0,87.0,2021-10-21 00:00:00
GSW,LAC,115.0,113.0,2021-10-21 00:00:00
MIA,MIL,137.0,95.0,2021-10-21 00:00:00
SAC,UTA,101.0,110.0,2021-10-22 00:00:00
PHI,BKN,109.0,114.0,2021-10-22 00:00:00
BOS,TOR,83.0,115.0,2021-10-22 00:00:00
LAL,PHX,105.0,115.0,2021-10-22 00:00:00
DEN,SAS,102.0,96.0,2021-10-22 00:00:00
CHI,NOP,128.0,112.0,2021-10-22 00:00:00
HOU,OKC,124.0,91.0,2021-10-22 00:00:00
ORL,NYK,96.0,121.0,2021-10-22 00:00:00
CLE,CHA,112.0,123.0,2021-10-22 00:00:00
WAS,IND,135.0,134.0,2021-10-22 00:00:00
POR,PHX,134.0,105.0,2021-10-23 00:00:00
SAS,MIL,111.0,121.0,2021-10-23 00:00:00
LAC,MEM,114.0,120.0,2021-10-23 00:00:00
IND,MIA,102.0,91.0,2021-10-23 00:00:00
CHI,DET,97.0,82.0,2021-10-23 00:00:00
TOR,DAL,95.0,103.0,2021-10-23 00:00:00
CLE,ATL,101.0,95.0,2021-10-23 00:00:00
MIN,NOP,96.0,89.0,2021-10-23 00:00:00
NYK,ORL,104.0,110.0,2021-10-24 00:00:00
SAC,GSW,107.0,119.0,2021-10-24 00:00:00
LAL,MEM,121.0,118.0,2021-10-24 00:00:00
OKC,PHI,103.0,115.0,2021-10-24 00:00:00
HOU,BOS,97.0,107.0,2021-10-24 00:00:00
BKN,CHA,95.0,111.0,2021-10-24 00:00:00
ATL,DET,122.0,104.0,2021-10-25 00:00:00
TOR,CHI,108.0,111.0,2021-10-25 00:00:00
LAC,POR,116.0,86.0,2021-10-25 00:00:00
DEN,CLE,87.0,99.0,2021-10-25 00:00:00
MIN,NOP,98.0,107.0,2021-10-25 00:00:00
BKN,WAS,104.0,90.0,2021-10-25 00:00:00
MIA,ORL,107.0,90.0,2021-10-25 00:00:00
CHA,BOS,129.0,140.0,2021-10-25 00:00:00
IND,MIL,109.0,119.0,2021-10-25 00:00:00
DAL,HOU,116.0,106.0,2021-10-26 00:00:00
NYK,PHI,112.0,99.0,2021-10-26 00:00:00
SAS,LAL,121.0,125.0,2021-10-26 00:00:00
UTA,DEN,122.0,110.0,2021-10-26 00:00:00
OKC,GSW,98.0,106.0,2021-10-26 00:00:00
TOR,IND,118.0,100.0,2021-10-27 00:00:00
BOS,WAS,107.0,116.0,2021-10-27 00:00:00
PHX,SAC,107.0,110.0,2021-10-27 00:00:00
LAC,CLE,79.0,92.0,2021-10-27 00:00:00
POR,MEM,116.0,96.0,2021-10-27 00:00:00
OKC,LAL,123.0,115.0,2021-10-27 00:00:00
MIL,MIN,108.0,113.0,2021-10-27 00:00:00
NOP,ATL,99.0,102.0,2021-10-27 00:00:00
BKN,MIA,93.0,106.0,2021-10-27 00:00:00
ORL,CHA,111.0,120.0,2021-10-27 00:00:00
CHI,NYK,103.0,104.0,2021-10-28 00:00:00
DAL,SAS,104.0,99.0,2021-10-28 00:00:00
GSW,MEM,101.0,104.0,2021-10-28 00:00:00
HOU,UTA,91.0,122.0,2021-10-28 00:00:00
WAS,ATL,122.0,111.0,2021-10-28 00:00:00
PHI,DET,110.0,102.0,2021-10-28 00:00:00
POR,LAC,111.0,92.0,2021-10-29 00:00:00
MIA,CHA,114.0,99.0,2021-10-29 00:00:00
