rank,keep_ratio,test_size,prediction_errors,accuracy
1,0.1,702,307,0.5627
1,0.2,624,275,0.5593
1,0.3,546,232,0.5751
1,0.4,468,201,0.5705
1,0.5,390,154,0.6051
1,0.6,312,133,0.5737
1,0.7,234,95,0.594
1,0.8,156,62,0.6026
1,0.9,78,30,0.6154
10,0.1,702,310,0.5584
10,0.2,624,272,0.5641
10,0.3,546,228,0.5824
10,0.4,468,202,0.5684
10,0.5,390,167,0.5718
10,0.6,312,134,0.5705
10,0.7,234,98,0.5812
10,0.8,156,54,0.6538
10,0.9,78,40,0.4872
20,0.1,702,307,0.5627
20,0.2,624,275,0.5593
20,0.3,546,242,0.5568
20,0.4,468,207,0.5577
20,0.5,390,176,0.5487
20,0.6,312,139,0.5545
20,0.7,234,105,0.5513
20,0.8,156,67,0.5705
20,0.9,78,41,0.4744
30,0.1,702,307,0.5627
30,0.2,624,275,0.5593
30,0.3,546,239,0.5623
30,0.4,468,206,0.5598
30,0.5,390,169,0.5667
30,0.6,312,141,0.5481
30,0.7,234,102,0.5641
30,0.8,156,70,0.5513
30,0.9,78,39,0.5
