team_abbreviation_home,team_abbreviation_away,pts_home,pts_away,game_date
BOS,PHI,105.0,87.0,2018-10-16 00:00:00
GSW,OKC,108.0,100.0,2018-10-16 00:00:00
SAS,MIN,112.0,108.0,2018-10-17 00:00:00
PHX,DAL,121.0,100.0,2018-10-17 00:00:00
LAC,DEN,98.0,107.0,2018-10-17 00:00:00
NYK,ATL,126.0,107.0,2018-10-17 00:00:00
SAC,UTA,117.0,123.0,2018-10-17 00:00:00
HOU,NOP,112.0,131.0,2018-10-17 00:00:00
ORL,MIA,104.0,101.0,2018-10-17 00:00:00
IND,MEM,111.0,83.0,2018-10-17 00:00:00
DET,BKN,103.0,100.0,2018-10-17 00:00:00
CHA,MIL,112.0,113.0,2018-10-17 00:00:00
TOR,CLE,116.0,104.0,2018-10-17 00:00:00
POR,LAL,128.0,119.0,2018-10-18 00:00:00
WAS,MIA,112.0,113.0,2018-10-18 00:00:00
PHI,CHI,127.0,108.0,2018-10-18 00:00:00
LAC,OKC,108.0,92.0,2018-10-19 00:00:00
BKN,NYK,107.0,105.0,2018-10-19 00:00:00
MIN,CLE,131.0,123.0,2018-10-19 00:00:00
ORL,CHA,88.0,120.0,2018-10-19 00:00:00
MIL,IND,118.0,101.0,2018-10-19 00:00:00
TOR,BOS,113.0,101.0,2018-10-19 00:00:00
UTA,GSW,123.0,124.0,2018-10-19 00:00:00
MEM,ATL,131.0,117.0,2018-10-19 00:00:00
NOP,SAC,149.0,129.0,2018-10-19 00:00:00
MIA,CHA,112.0,113.0,2018-10-20 00:00:00
POR,SAS,121.0,108.0,2018-10-20 00:00:00
IND,BKN,132.0,112.0,2018-10-20 00:00:00
DAL,MIN,140.0,136.0,2018-10-20 00:00:00
LAL,HOU,115.0,124.0,2018-10-20 00:00:00
CHI,DET,116.0,118.0,2018-10-20 00:00:00
WAS,TOR,113.0,117.0,2018-10-20 00:00:00
NYK,BOS,101.0,103.0,2018-10-20 00:00:00
DEN,PHX,119.0,91.0,2018-10-20 00:00:00
PHI,ORL,116.0,115.0,2018-10-20 00:00:00
DEN,GSW,100.0,98.0,2018-10-21 00:00:00
LAC,HOU,115.0,112.0,2018-10-21 00:00:00
CLE,ATL,111.0,133.0,2018-10-21 00:00:00
OKC,SAC,120.0,131.0,2018-10-21 00:00:00
MIL,NYK,124.0,113.0,2018-10-22 00:00:00
POR,WAS,124.0,125.0,2018-10-22 00:00:00
LAL,SAS,142.0,143.0,2018-10-22 00:00:00
TOR,CHA,127.0,106.0,2018-10-22 00:00:00
DAL,CHI,115.0,109.0,2018-10-22 00:00:00
GSW,PHX,123.0,103.0,2018-10-22 00:00:00
BOS,ORL,90.0,93.0,2018-10-22 00:00:00
UTA,MEM,84.0,92.0,2018-10-22 00:00:00
MIN,IND,101.0,91.0,2018-10-22 00:00:00
DEN,SAC,126.0,112.0,2018-10-23 00:00:00
NOP,LAC,116.0,109.0,2018-10-23 00:00:00
DET,PHI,133.0,132.0,2018-10-23 00:00:00
PHX,LAL,113.0,131.0,2018-10-24 00:00:00
SAC,MEM,97.0,92.0,2018-10-24 00:00:00
TOR,MIN,112.0,105.0,2018-10-24 00:00:00
CHI,CHA,112.0,110.0,2018-10-24 00:00:00
MIL,PHI,123.0,108.0,2018-10-24 00:00:00
SAS,IND,96.0,116.0,2018-10-24 00:00:00
HOU,UTA,89.0,100.0,2018-10-24 00:00:00
ATL,DAL,111.0,104.0,2018-10-24 00:00:00
MIA,NYK,110.0,87.0,2018-10-24 00:00:00
CLE,BKN,86.0,102.0,2018-10-24 00:00:00
GSW,WAS,144.0,122.0,2018-10-24 00:00:00
LAL,DEN,121.0,114.0,2018-10-25 00:00:00
OKC,BOS,95.0,101.0,2018-10-25 00:00:00
ORL,POR,114.0,128.0,2018-10-25 00:00:00
DET,CLE,110.0,103.0,2018-10-25 00:00:00
MIN,MIL,95.0,125.0,2018-10-26 00:00:00
NOP,BKN,117.0,115.0,2018-10-26 00:00:00
TOR,DAL,116.0,107.0,2018-10-26 00:00:00
NYK,GSW,100.0,128.0,2018-10-26 00:00:00
SAC,WAS,116.0,112.0,2018-10-26 00:00:00
CHA,CHI,135.0,106.0,2018-10-26 00:00:00
HOU,LAC,113.0,133.0,2018-10-26 00:00:00
MEM,PHX,117.0,96.0,2018-10-27 00:00:00
SAS,LAL,110.0,106.0,2018-10-27 00:00:00
MIA,POR,120.0,111.0,2018-10-27 00:00:00
PHI,CHA,105.0,103.0,2018-10-27 00:00:00
CLE,IND,107.0,119.0,2018-10-27 00:00:00
ATL,CHI,85.0,97.0,2018-10-27 00:00:00
MIL,ORL,113.0,91.0,2018-10-27 00:00:00
DET,BOS,89.0,109.0,2018-10-27 00:00:00
NOP,UTA,111.0,132.0,2018-10-27 00:00:00
OKC,PHX,117.0,110.0,2018-10-28 00:00:00
LAC,WAS,136.0,104.0,2018-10-28 00:00:00
BKN,GSW,114.0,120.0,2018-10-28 00:00:00
DAL,UTA,104.0,113.0,2018-10-28 00:00:00
NYK,BKN,115.0,96.0,2018-10-29 00:00:00
MIA,SAC,113.0,123.0,2018-10-29 00:00:00
MIL,TOR,124.0,109.0,2018-10-29 00:00:00
CHI,GSW,124.0,149.0,2018-10-29 00:00:00
IND,POR,93.0,103.0,2018-10-29 00:00:00
MIN,LAL,124.0,120.0,2018-10-29 00:00:00
SAS,DAL,113.0,108.0,2018-10-29 00:00:00
DEN,NOP,116.0,111.0,2018-10-29 00:00:00
PHI,ATL,113.0,92.0,2018-10-29 00:00:00
CHA,MIA,125.0,113.0,2018-10-30 00:00:00
CLE,ATL,136.0,114.0,2018-10-30 00:00:00
HOU,POR,85.0,104.0,2018-10-30 00:00:00
BOS,DET,108.0,105.0,2018-10-30 00:00:00
OKC,LAC,128.0,110.0,2018-10-30 00:00:00
MEM,WAS,107.0,95.0,2018-10-30 00:00:00
ORL,SAC,99.0,107.0,2018-10-30 00:00:00
TOR,PHI,129.0,112.0,2018-10-30 00:00:00
PHX,SAS,90.0,120.0,2018-10-31 00:00:00
GSW,NOP,131.0,121.0,2018-10-31 00:00:00
MIN,UTA,128.0,125.0,2018-10-31 00:00:00
NYK,IND,101.0,107.0,2018-10-31 00:00:00
BKN,DET,120.0,119.0,2018-10-31 00:00:00
CHI,DEN,107.0,108.0,2018-10-31 00:00:00
LAL,DAL,114.0,113.0,2018-10-31 00:00:00
POR,NOP,132.0,119.0,2018-11-01 00:00:00
BOS,MIL,117.0,113.0,2018-11-01 00:00:00
CLE,DEN,91.0,110.0,2018-11-01 00:00:00
CHA,OKC,107.0,111.0,2018-11-01 00:00:00
ATL,SAC,115.0,146.0,2018-11-01 00:00:00
PHI,LAC,122.0,113.0,2018-11-01 00:00:00
WAS,OKC,111.0,134.0,2018-11-02 00:00:00
ORL,LAC,95.0,120.0,2018-11-02 00:00:00
PHX,TOR,98.0,107.0,2018-11-02 00:00:00
DAL,NYK,106.0,118.0,2018-11-02 00:00:00
BKN,HOU,111.0,119.0,2018-11-02 00:00:00
CHI,IND,105.0,107.0,2018-11-02 00:00:00
GSW,MIN,116.0,99.0,2018-11-02 00:00:00
UTA,MEM,100.0,110.0,2018-11-02 00:00:00
IND,BOS,102.0,101.0,2018-11-03 00:00:00
ATL,MIA,123.0,118.0,2018-11-03 00:00:00
PHI,DET,109.0,99.0,2018-11-03 00:00:00
CHA,CLE,126.0,94.0,2018-11-03 00:00:00
DEN,UTA,103.0,88.0,2018-11-03 00:00:00
POR,LAL,110.0,114.0,2018-11-03 00:00:00
CHI,HOU,88.0,96.0,2018-11-03 00:00:00
SAS,NOP,109.0,95.0,2018-11-03 00:00:00
SAS,ORL,110.0,117.0,2018-11-04 00:00:00
BKN,PHI,122.0,97.0,2018-11-04 00:00:00
POR,MIN,111.0,81.0,2018-11-04 00:00:00
PHX,MEM,102.0,100.0,2018-11-04 00:00:00
WAS,NYK,108.0,95.0,2018-11-04 00:00:00
MIL,SAC,144.0,109.0,2018-11-04 00:00:00
LAL,TOR,107.0,121.0,2018-11-04 00:00:00
LAC,MIN,120.0,109.0,2018-11-05 00:00:00
DEN,BOS,115.0,107.0,2018-11-05 00:00:00
OKC,NOP,122.0,116.0,2018-11-05 00:00:00
GSW,MEM,117.0,101.0,2018-11-05 00:00:00
IND,HOU,94.0,98.0,2018-11-05 00:00:00
NYK,CHI,115.0,116.0,2018-11-05 00:00:00
ORL,CLE,102.0,100.0,2018-11-05 00:00:00
DET,MIA,115.0,120.0,2018-11-05 00:00:00
UTA,TOR,111.0,124.0,2018-11-05 00:00:00
DAL,WAS,119.0,100.0,2018-11-06 00:00:00
PHX,BKN,82.0,104.0,2018-11-06 00:00:00
POR,MIL,118.0,103.0,2018-11-06 00:00:00
CHA,ATL,113.0,102.0,2018-11-06 00:00:00
UTA,DAL,117.0,102.0,2018-11-07 00:00:00
MEM,DEN,89.0,87.0,2018-11-07 00:00:00
LAL,MIN,114.0,110.0,2018-11-07 00:00:00
CLE,OKC,86.0,95.0,2018-11-07 00:00:00
IND,PHI,94.0,100.0,2018-11-07 00:00:00
NOP,CHI,107.0,98.0,2018-11-07 00:00:00
MIA,SAS,95.0,88.0,2018-11-07 00:00:00
ATL,NYK,107.0,112.0,2018-11-07 00:00:00
ORL,DET,96.0,103.0,2018-11-07 00:00:00
SAC,TOR,105.0,114.0,2018-11-07 00:00:00
POR,LAC,116.0,105.0,2018-11-08 00:00:00
PHX,BOS,109.0,116.0,2018-11-08 00:00:00
GSW,MIL,111.0,134.0,2018-11-08 00:00:00
OKC,HOU,98.0,80.0,2018-11-08 00:00:00
ATL,DET,109.0,124.0,2018-11-09 00:00:00
SAC,MIN,121.0,110.0,2018-11-09 00:00:00
UTA,BOS,123.0,115.0,2018-11-09 00:00:00
ORL,WAS,117.0,108.0,2018-11-09 00:00:00
PHI,CHA,133.0,132.0,2018-11-09 00:00:00
DEN,BKN,110.0,112.0,2018-11-09 00:00:00
MIA,IND,102.0,110.0,2018-11-09 00:00:00
DAL,OKC,111.0,96.0,2018-11-10 00:00:00
CHI,CLE,99.0,98.0,2018-11-10 00:00:00
SAC,LAL,86.0,101.0,2018-11-10 00:00:00
TOR,NYK,128.0,112.0,2018-11-10 00:00:00
NOP,PHX,119.0,99.0,2018-11-10 00:00:00
GSW,BKN,116.0,100.0,2018-11-10 00:00:00
SAS,HOU,96.0,89.0,2018-11-10 00:00:00
MIA,WAS,110.0,116.0,2018-11-10 00:00:00
LAC,MIL,128.0,126.0,2018-11-10 00:00:00
MEM,PHI,112.0,106.0,2018-11-10 00:00:00
NYK,ORL,89.0,115.0,2018-11-11 00:00:00
HOU,IND,115.0,103.0,2018-11-11 00:00:00
POR,BOS,100.0,94.0,2018-11-11 00:00:00
DET,CHA,103.0,113.0,2018-11-11 00:00:00
LAL,ATL,107.0,106.0,2018-11-11 00:00:00
DEN,MIL,114.0,121.0,2018-11-11 00:00:00
