rank,keep_ratio,test_size,prediction_errors,accuracy
1,0.1,783,334,0.5734
1,0.2,696,299,0.5704
1,0.3,609,242,0.6026
1,0.4,522,227,0.5651
1,0.5,435,186,0.5724
1,0.6,348,144,0.5862
1,0.7,261,94,0.6398
1,0.8,174,63,0.6379
1,0.9,87,31,0.6437
10,0.1,783,344,0.5607
10,0.2,696,302,0.5661
10,0.3,609,263,0.5681
10,0.4,522,234,0.5517
10,0.5,435,195,0.5517
10,0.6,348,152,0.5632
10,0.7,261,105,0.5977
10,0.8,174,67,0.6149
10,0.9,87,33,0.6207
20,0.1,783,333,0.5747
20,0.2,696,294,0.5776
20,0.3,609,264,0.5665
20,0.4,522,215,0.5881
20,0.5,435,189,0.5655
20,0.6,348,145,0.5833
20,0.7,261,104,0.6015
20,0.8,174,76,0.5632
20,0.9,87,33,0.6207
30,0.1,783,334,0.5734
30,0.2,696,292,0.5805
30,0.3,609,252,0.5862
30,0.4,522,207,0.6034
30,0.5,435,166,0.6184
30,0.6,348,133,0.6178
30,0.7,261,101,0.613
30,0.8,174,71,0.592
30,0.9,87,27,0.6897
