home_idx,away_idx,margin,season
3,2,5.0,2018
8,5,11.0,2018
16,7,6.0,2018
29,12,7.0,2018
21,27,-2.0,2018
19,24,-4.0,2018
15,1,-12.0,2018
28,25,-9.0,2018
26,14,-1.0,2018
9,20,-28.0,2018
0,27,-16.0,2018
10,8,2.0,2018
4,23,8.0,2018
6,1,6.0,2018
5,13,-4.0,2018
3,11,18.0,2018
22,18,1.0,2018
16,24,30.0,2018
17,7,-2.0,2018
2,19,-8.0,2018
20,3,5.0,2018
8,10,5.0,2018
4,15,-7.0,2018
12,14,5.0,2018
27,29,18.0,2018
16,23,-2.0,2018
13,28,7.0,2018
7,21,25.0,2018
22,5,-9.0,2018
9,24,28.0,2018
0,2,-18.0,2018
19,18,5.0,2018
1,17,-10.0,2018
11,26,-11.0,2018
5,10,9.0,2018
16,26,6.0,2018
29,18,10.0,2018
20,7,-7.0,2018
6,2,9.0,2018
17,4,15.0,2018
9,25,1.0,2018
13,21,-4.0,2018
27,15,10.0,2018
14,19,-5.0,2018
24,12,-4.0,2018
0,3,1.0,2018
25,28,-21.0,2018
1,22,-2.0,2018
8,23,11.0,2018
4,26,-1.0,2018
9,21,6.0,2018
28,11,-30.0,2018
29,10,4.0,2018
18,2,-17.0,2018
5,17,-7.0,2018
3,16,3.0,2018
7,13,30.0,2018
23,11,-5.0,2018
15,0,-2.0,2018
8,19,7.0,2018
14,27,-8.0,2018
12,23,16.0,2018
16,4,3.0,2018
10,6,-20.0,2018
22,19,26.0,2018
18,29,21.0,2018
24,21,3.0,2018
17,26,30.0,2018
1,28,-10.0,2018
3,0,14.0,2018
20,5,17.0,2018
27,9,3.0,2018
13,11,8.0,2018
25,12,-12.0,2018
26,10,-30.0,2018
20,0,15.0,2018
23,21,-14.0,2018
2,5,30.0,2018
3,28,-8.0,2018
13,6,11.0,2018
8,4,19.0,2018
1,14,-6.0,2018
22,29,25.0,2018
24,7,-1.0,2018
15,18,5.0,2018
17,2,-9.0,2018
19,16,2.0,2018
5,27,-11.0,2018
10,4,16.0,2018
8,9,9.0,2018
25,11,1.0,2018
29,1,14.0,2018
22,14,8.0,2018
15,28,2.0,2018
13,23,24.0,2018
6,12,4.0,2018
3,18,-10.0,2018
26,24,13.0,2018
17,10,12.0,2018
18,12,-3.0,2018
0,9,-17.0,2018
8,20,-27.0,2018
27,7,-3.0,2018
19,29,-3.0,2018
1,5,-2.0,2018
28,26,30.0,2018
23,25,-17.0,2018
15,21,-15.0,2018
11,4,6.0,2018
6,24,9.0,2018
14,12,10.0,2018
0,29,-14.0,2018
1,20,-2.0,2018
16,8,23.0,2018
17,3,17.0,2018
13,26,8.0,2018
18,6,26.0,2018
5,9,-24.0,2018
27,22,11.0,2018
21,7,-6.0,2018
28,10,27.0,2018
2,19,28.0,2018
24,23,22.0,2018
21,11,-22.0,2018
8,22,-6.0,2018
16,9,-10.0,2018
3,7,6.0,2018
4,20,2.0,2018
18,14,-4.0,2018
26,13,13.0,2018
23,15,-17.0,2018
5,25,-19.0,2018
1,27,1.0,2018
11,25,10.0,2018
6,10,3.0,2018
5,29,15.0,2018
14,13,-23.0,2018
0,7,8.0,2018
19,1,-8.0,2018
24,17,8.0,2018
4,2,-30.0,2018
12,15,-23.0,2018
19,3,-12.0,2018
8,18,-8.0,2018
27,16,-5.0,2018
26,28,13.0,2018
2,18,13.0,2018
11,29,8.0,2018
23,12,-4.0,2018
7,14,6.0,2018
9,17,8.0,2018
13,15,3.0,2018
16,5,16.0,2018
22,8,14.0,2018
4,25,-19.0,2018
20,28,9.0,2018
6,21,25.0,2018
12,27,-24.0,2018
10,24,7.0,2018
26,23,25.0,2018
6,0,7.0,2018
3,8,1.0,2018
9,27,-20.0,2018
28,15,27.0,2018
29,2,-5.0,2018
18,20,4.0,2018
22,1,-3.0,2018
14,24,9.0,2018
11,16,16.0,2018
25,17,11.0,2018
5,19,7.0,2018
21,4,6.0,2018
26,12,30.0,2018
10,13,15.0,2018
23,6,10.0,2018
