Season 22022 contained 1230 games
teams scores
BOS: 0.08255611137139934
CLE: 0.0592899248227228
MIL: 0.05545109878037392
DEN: 0.05095827922058363
MEM: 0.05080920820257251
GSW: 0.04409578751644133
CHI: 0.04069975692002736
DAL: 0.04044474187834708
NYK: 0.039925110799757385
PHX: 0.03965698460374126
SAC: 0.03921964122501605
OKC: 0.03908759370192323
NOP: 0.036924502881270235
LAC: 0.03658333966002007
PHI: 0.035236983778750355
MIN: 0.031012283326287565
ORL: 0.03060407110217313
ATL: 0.029935203471850833
TOR: 0.02974732495253272
BKN: 0.029470628901440102
MIA: 0.025752532510118217
UTA: 0.022583709292435278
LAL: 0.022046942800363196
WAS: 0.019179574630795088
CHA: 0.01540536715222083
IND: 0.013902920098767847
POR: 0.013530830007840047
DET: 0.012678288020370975
SAS: 0.006907581882023145
HOU: 0.006303676487834503
